[      88ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=284997e9:14337
[     157ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963553326:20
[     158ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963553326:20
[     198ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963553326:20
[     199ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963553326:20
[  144283ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963761089:20
[  144284ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963761089:20
[  144290ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963761089:20
[  144292ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963761089:20
[  144310ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963761089:20
[  144311ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963761089:20
[  144314ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963761089:20
[  144315ms] [LOG] Dashboard state: {address: undefined, isConnected: false, chainId: undefined, isMember: undefined, memberErr: undefined} @ http://localhost:5173/src/components/Dashboard.tsx?t=1777963761089:20
